,video_id,video_title,upload_date,view_count,like_count,comment_count
0,56AfIj3ij70,Hearbroken Vulture Can Finally Fly Again Thanks To His Rescuers | The Dodo,2022-07-16,111500,9929,515
1,tk9GsEjoWhk,Guy Has Met 150 Cats Walking Through His Neighborhood | The Dodo Cat Crazy,2022-07-16,152904,12005,705
2,GrpBvbmFaAE,Cats Become Obsessed With Their Mom's New Vitamix Packaging Box | The Dodo,2022-07-15,55371,3770,82
3,eNVPwmmoRJQ,Tiny Sick Kitten Sits On Volunteer's Shoulder Everyday | The Dodo,2022-07-15,193323,12912,523
4,fbE8KB-8Y7Y,Rescue Pit Bull Loves The Drive Thru At McDonalds | The Dodo Foster Diaries,2022-07-15,282872,15761,762
5,88Gn2E3Dhpk,Guy Saves Bald Eagle From Drowning In River | The Dodo Faith = Restored,2022-07-14,882034,31593,1711
6,GS-L47SssoM,Cat Became So Scared After This Huge Animal Starting Eating His Food | The Dodo,2022-07-14,298652,10996,467
7,zmdUTlPf1sU,Cat Will Not Begin His Day If His Mom Doesn't Make Him His Own Cat-uccino First | The Dodo,2022-07-13,233118,17378,408
8,mnL0zWbG2yA,Smiling Pittie Goes To The Pier Everyday To Visit The Sea Lions  | The Dodo,2022-07-13,484604,20726,1036
9,CCIamKjIJkc,The Survival Guide To: Getting A Younger Sibling | The Dodo Odd Couples,2022-07-12,200649,10326,392
10,IpACXpGD5Ig,Cat's Favorite Activity Is Showering | The Dodo,2022-07-11,153413,11708,273
11,d24TLo5tjRI,Lamb Is Obsessed With His Mom’s Coworker | The Dodo Little But Fierce,2022-07-11,1083983,38396,1367
12,mLfZRaSadVg,Piglets Squeeze Into Great Dane's Crate To Lie On Top Of Him | The Dodo,2022-07-10,583846,26839,854
13,eJaR9CMnJpU,This Rescue Cow Acts Like A 1-Ton Baby | The Dodo Soulmates,2022-07-10,822825,27780,1909
14,h17RBiNojrQ,This Tiny Abandoned Kitten Was Found On The Sidewalk | The Dodo,2022-07-09,346979,17032,643
15,ZMPgtO-d3bQ,This Cat's Favorite Activity Is Showering With Mom | The Dodo Cat Crazy,2022-07-09,518879,28501,1465
16,gYQmJyRLjX0,Pittie Rescued From A Crumbling Abandoned House | The Dodo,2022-07-08,318280,25640,572
17,y0XJ-wMGkMc,Couple Rescues A Dog On Valentine's Day | The Dodo,2022-07-08,306003,16070,428
18,NfkKZG4Yhg0,Dog-Person Guy Begs His Wife To Adopt Shelter Cat  | The Dodo Foster Diaries,2022-07-08,1335933,58400,2469
19,eo7Fud1PuZc,Senior Dog Walks Again After Finding His Forever Home | The Dodo,2022-07-07,447164,16057,756
20,4VZAvnnlJRA,Woman Jumps Into Icy Lake To Save A Dog | The Dodo,2022-07-07,219939,12046,1278
21,GyHOUNWGjiY,This Woman's Love For Her Parrot Is Everything Humanity Needs | The Dodo,2022-07-06,508169,40598,761
22,gxP3ZYT_xAo,Rowdy Puppy Becomes Best Foster Brother | The Dodo Pittie Nation,2022-07-06,437437,15340,667
23,SzB7bya9A_I,Puppy Brings His Favorite Toys To His Tortoise BFF Everyday | The Dodo Odd Couples,2022-07-05,742921,24621,1325
24,6cRGqo3jT1Y,This Dog Thinks The Floor Is Lava | The Dodo,2022-07-03,467740,19198,871
25,gMTrDDVr8XQ,Cat Needs His Own Cat-uccino To Begin His Day | The Dodo Cat Crazy,2022-07-02,324594,15151,511
26,OHgy75FqOZk,Hero Dog Saves His Tiny Best Friend From Drowning | The Dodo,2022-07-01,2024957,48042,4025
27,oLt8xk5oyvs,Service Dog Didn't Know How To Play Until He Met This Tiny Kitten | The Dodo Odd Couples,2022-06-28,395118,21453,816
28,WuXtVNVWSBQ,Baby Girl and Puppy Have Jam Sessions | The Dodo Little But Fierce,2022-06-27,272190,14162,572
29,3hWTSNdMy-g,Puppies Abandoned In A Box Get Loving Homes | The Dodo,2022-06-27,276137,13475,617
30,GB0lnUjaLxA,Tiny Dumpster Puppy Learns How To Be A Dog | The Dodo,2022-06-25,698105,27452,1210
31,ljyhcciY5gs,Cats Become Obsessed With Their Mom's New Vitamix Packaging Box | The Dodo Cat Crazy,2022-06-25,246146,13499,544
32,uWJNkHP7JJs,Pittie Can’t Go A Minute Without His Favorite Plushie | The Dodo,2022-06-24,540445,36298,592
33,0ZNWZARC1sI,Guy Starts With Fostering One Cat Then Gets Hooked | The Dodo,2022-06-23,373098,26509,1300
34,rSy4Ek6fIf4,Pittie Who Was Flat As a Pancake Now She Loves to Chase Around Her Baby Sister | The Dodo,2022-06-23,511871,21484,1023
35,VosMPXr-rco,Man Wakes Up Before Sunrise to Help 100 Homeless Cats in Hawaii | The Dodo Heroes,2022-06-22,317450,21010,1891
36,aRiKkZXS4Fw,Hungry Koala Walks Up To Couple Asking For Help | The Dodo,2022-06-20,2210693,70126,3382
37,Zq4GjPi2U-c,Stray Dog Helps Kids Safely Cross The Street | The Dodo,2022-06-18,1425340,46220,2636
38,3WL5uX3c0hc,Sasha DiGiulian’s Puppy Motivates her to Climb Again | The Dodo Teammates,2022-06-17,140972,5187,208
39,j3E_UeaosHY,Beagle Is All Alone Until A New Friend Shows Up | The Dodo Odd Couples,2022-06-14,600987,26037,834
40,YcekVwIM3mY,Aggressive Dog Chained His Entire Life Is Finally Rescued | The Dodo,2022-06-14,530160,26709,1295
41,axD03v6gJSQ,Watch This Feral Chihuahua Learn What A Belly Rub Is | The Dodo Little But Fierce,2022-06-13,497574,23654,890
